Title,Type,Price
"Lv Premier Baixa FI- central, balcony, space, ac",Entire home/apt,200
Spacious Fully Equiped Apartment,Entire home/apt,144
STUDIO 1 Príncipe Real,Entire home/apt,101
STUDIO 2 Príncipe Real,Entire home/apt,95
MODERN CONDE BARAO - RIVER DUPLEX,Entire home/apt,182
Spacious apartment - city center,Entire home/apt,
Centrality and comf house in Lisbon,Entire home/apt,65
Two Bedrooms w/ Garden,Entire home/apt,146
Studio in the Historic Center/Baixa,Entire home/apt,89
"Two Bedrooms Duplex with heating, Alfama",Entire home/apt,124
"Atalaia, 164, 2",Entire home/apt,25
Alfama: Enjoy Lisbon as a Local,Entire home/apt,77
Lisbon Sant'Ana Alcantara 2br apart,Entire home/apt,102
Apart. Santa Catarina 23-3,Entire home/apt,88
Casa do Azulejo | 2 BD Apt | 4 pax | Príncipe Real,Entire home/apt,138
"Chiado Lisboa Loft of 250,0 m2",Entire home/apt,
Heart of Lisbon modern apartment,Entire home/apt,102
Former Olive Press Turned Country House with Pool,Entire home/apt,255
Lisbon Windmill Apartment (green),Entire home/apt,95
Marmel 3 - Central Location,Entire home/apt,147
House near the Atlantic Ocean,Entire home/apt,80
Underdog Surf House - Peralta Room,Private room,88
Castle View near Rossio + AC,Entire home/apt,99
2 Bedroom Apt - Downtown Lisbon,Entire home/apt,209
Charming Apartment  |  Historical Center,Entire home/apt,173
NICE APARTMENT IN LISBON OURIQUE 2,Entire home/apt,65
"Charm, light and accessibility",Entire home/apt,168
Typical & historical in the center,Entire home/apt,100
Upper Floor in a Duplex Apartment,Private room,32
Carpediem Apt in typical street,Entire home/apt,73
🚋Lisbon Gloria Apartment Downtown ⭐Superhost⭐,Entire home/apt,138
Central Studio - Chiado classy,Entire home/apt,
Bright and Spacious Apartment in Ajuda,Entire home/apt,97
Apartamento Mouraria Guesthouse - Room 2,Private room,37
A romantic getaway inside the castle walls,Entire home/apt,74
Bairro Alto Vintage Apartment Lisbo,Entire home/apt,115
Alfama Terrace on Tejo,Entire home/apt,90
Charming Alfama Charmosa,Entire home/apt,49
"Lisbon - one season, your apartment",Entire home/apt,88
Nice 3 Bedrooms Apartment @ Campolide,Entire home/apt,110
Apartamento Mouraria Guesthouse - Room 3,Private room,29
Apartamento Mouraria Guesthouse - Room 4,Private room,32
House for 8 on the west coast,Entire home/apt,106
"Rosa Residence, cosy chic & patio",Entire home/apt,111
Apt MONDRIAN historic center/garage,Entire home/apt,95
Underdog Surf House - double room 2,Private room,88
Underdog Surf House - Male shared room,Shared room,36
Writer's House Lisbon (Bairro Alto),Entire home/apt,150
Cozy Apartment. City Center. Av. Liberdade,Entire home/apt,111
Room overlooking the river-6,Private room,40
ALFAMA Cozy and modern flat!,Entire home/apt,91
ECO Green Studio Apartment Lisbon,Entire home/apt,72
Alfama river and roofs view,Entire home/apt,94
Correeiros  28 - 2 Bedrooms Apartment,Entire home/apt,199
"Cosy apartment, with terrace!",Entire home/apt,79
Cactus apartment with terrace,Entire home/apt,126
"Santa Catarina, Lisbon Details II",Entire home/apt,123
Lalita Apartment - 3 rooms downtown,Entire home/apt,127
C2 Authentic Stay | XVIII Century Charm | DT,Entire home/apt,91
Historical Lisbon Apartment,Entire home/apt,149
Casa das Andorinhas - Cozy studio,Entire home/apt,74
Apartamento charme no coração de lisboa,Entire home/apt,169
T1  apartment Saldanha 3p,Entire home/apt,67
MyFlatinLisbon | Graça 2 sunny views of Tagus,Entire home/apt,115
By the sea in the center @ Ericeira,Entire home/apt,221
Underdog Surf House - Female Dorm,Shared room,36
Senhora do Monte Apartment,Entire home/apt,89
Small studio city center -Lisbon,Entire home/apt,70
FADO S.RAFEL,Entire home/apt,
Principe Real Town House,Entire home/apt,450
"Walk to Museums from an Eclectic, Art-Filled Apartment",Entire home/apt,107
Chiado Studio III Amazing Place,Entire home/apt,196
Bairro Alto w/ View up to 20guests by Central Hill,Entire home/apt,593
"Welcome to your home, in Lisbon",Entire home/apt,79
Typical Duplex Apartment in Bairro Alto,Entire home/apt,152
Condessa in Historical Chiado -,Entire home/apt,128
Chiado Studio II Fantastic Place,Entire home/apt,
PS LISBON FLATS- Av Liberdade I - Clean&Safe Stamp,Entire home/apt,136
Rural House silver coast 5m from the beach,Entire home/apt,68
Cozy  Flat at Bica/ Bairro Alto,Entire home/apt,62
Rural House silver coast 5m from the beach,Entire home/apt,68
"Casa do Guincho, Cozy modern Beach House",Entire home/apt,277
Azenhas do Mar Sintra beach house 2,Entire home/apt,70
CHIADO STUDIO I BEST APARTMENT,Entire home/apt,
@ SWEET BAIRRO ALTO,Entire home/apt,123
"Best location! ! Spacious, charm. 2BR. GreatViews!",Entire home/apt,158
Just4u NewFlat@Bairro Alto & Chiado,Entire home/apt,47
Historical center with garden,Entire home/apt,90
LISBON - BEDROOM + COFFEE,Private room,55
DOWNTOWN APARTMENT LISBON,Entire home/apt,
CHIADO STUDIO IV GREAT APARTMENT!,Entire home/apt,
Lisbon Windmill Apartments (white),Entire home/apt,136
Lines of Wellington - Apartment,Entire home/apt,71
Room With a View /Bairro Alto,Private room,57
ApartmentCampo Grande - Metro Entrecampos,Entire home/apt,176
Alfama 2 You,Entire home/apt,105
Alfama Stay Inn,Entire home/apt,80
"(NEW) LapaCosy apart,Central Lisbon",Entire home/apt,131
Horizonte Mar,Entire home/apt,
"Your entry to Alfama, Lisbon easy!",Entire home/apt,50
3BR+2Bath in Central Lisbon with AC,Entire home/apt,210
Ljmonade hostel - Twin room with shared bathroom,Private room,75
